Nun,State,Population,Code
1,California,"39,512,223",CA
2,Texas,"28,995,881",TX
3,Florida,"21,477,737",FL
4,New York,"19,453,561",NY
5,Pennsylvania,"12,801,989",PA
6,Illinois,"12,671,821",IL
7,Ohio,"11,689,100",OH
8,Georgia,"10,617,423",GA
9,North Carolina,"10,488,084",NC
10,Michigan,"9,986,857",MI
11,New Jersey,"8,882,190",NJ
12,Virginia,"8,535,519",VA
13,Washington,"7,614,893",WA
14,Arizona,"7,278,717",AZ
15,Massachusetts,"6,892,503",MA
16,Tennessee,"6,829,174",TN
17,Indiana,"6,732,219",IN
18,Missouri,"6,137,428",MO
19,Maryland,"6,045,680",MD
20,Wisconsin,"5,822,434",WI
21,Colorado,"5,758,736",CO
22,Minnesota,"5,639,632",MN
23,South Carolina,"5,148,714",SC
24,Alabama,"4,903,185",AL
25,Louisiana,"4,648,794",LA
26,Kentucky,"4,467,673",KY
27,Oregon,"4,217,737",OR
28,Oklahoma,"3,956,971",OK
29,Connecticut,"3,565,287",CT
30,Utah,"3,205,958",UT
31,Iowa,"3,155,070",IA
32,Nevada,"3,080,156",NV
33,Arkansas,"3,017,804",AR
34,Mississippi,"2,976,149",MS
35,Kansas,"2,913,314",KS
36,New Mexico,"2,096,829",NM
37,Nebraska,"1,934,408",NE
38,West Virginia,"1,792,147",WV
39,Idaho,"1,787,065",ID
40,Hawaii,"1,415,872",HI
41,New Hampshire,"1,359,711",NH
42,Maine,"1,344,212",ME
43,Montana,"1,068,778",MT
44,Rhode Island,"1,059,361",RI
45,Delaware,"973,764",DE
46,South Dakota,"884,659",SD
47,North Dakota,"762,062",ND
48,Alaska,"731,545",AK
49,District of Columbia,"705,749",DC
50,Vermont,"623,989",VT
51,Wyoming,"578,759",WY
